wilgotnosc,temperatura,dym,ruch,godzina
47.0,23.0,Nie ma dymu,0,19:38
47.0,23.0,Nie ma dymu,0,19:48
47.0,23.0,Nie ma dymu,0,19:58
48.0,22.0,Nie ma dymu,0,20:08
46.0,23.0,Nie ma dymu,0,20:18
47.0,23.0,Nie ma dymu,0,20:28
48.0,22.0,Nie ma dymu,0,20:38
48.0,22.0,Nie ma dymu,0,20:48
47.0,22.0,Nie ma dymu,0,20:58
48.0,23.0,Nie ma dymu,0,21:08
46.0,23.0,Nie ma dymu,0,21:18
47.0,22.0,Nie ma dymu,0,21:44
47.0,22.0,Nie ma dymu,0,21:54
46.0,23.0,Nie ma dymu,0,22:04
46.0,23.0,Nie ma dymu,0,22:30
47.0,22.0,Nie ma dymu,0,22:40
45.0,23.0,Nie ma dymu,0,22:50
45.0,23.0,Nie ma dymu,0,23:00
46.0,23.0,Nie ma dymu,0,23:10
48.0,22.0,Nie ma dymu,0,23:20
46.0,22.0,Nie ma dymu,0,23:30
44.0,23.0,Nie ma dymu,0,23:40
46.0,23.0,Nie ma dymu,0,23:50
47.0,22.0,Nie ma dymu,0,00:00
45.0,23.0,Nie ma dymu,0,00:10
49.0,22.0,Nie ma dymu,0,00:20
45.0,23.0,Nie ma dymu,0,00:30
45.0,23.0,Nie ma dymu,0,00:40
47.0,22.0,Nie ma dymu,0,00:50
44.0,23.0,Nie ma dymu,0,01:00
47.0,22.0,Nie ma dymu,0,01:11
